ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776114868,1264.3093655369994,c920-room,37911.0,0.0,0.006451041999753215
1776114868,1264.3093655369994,c920-overhead,37916.0,0.0,0.034264019999682205
1776114868,1264.3093655369994,brio-room,37881.0,0.0,0.026375822999398224
1776114868,1264.3093655369994,brio-synths,37885.0,0.0,0.026111789999049506
1776114873,1269.3109270429995,brio-operator,35500.0,0.0,0.02910656199856021
1776114873,1269.3109270429995,c920-desk,38077.0,0.0,0.012361486998997862
1776114873,1269.3109270429995,c920-room,38062.0,0.0,0.013649130998601322
1776114873,1269.3109270429995,c920-overhead,38067.0,0.0,0.0007767179995425977
1776114873,1269.3109270429995,brio-room,38032.0,0.0,0.03066565900007845
1776114873,1269.3109270429995,brio-synths,38036.0,0.0,0.0004936949990224093
1776114879,1275.312711695,brio-operator,35664.0,0.0,0.03079623099984019
1776114879,1275.312711695,c920-desk,38253.0,0.0,0.012215294998895843
1776114879,1275.312711695,c920-room,38238.0,0.0,0.014171676999467309
1776114879,1275.312711695,c920-overhead,38243.0,0.0,0.006417280999812647
1776114879,1275.312711695,brio-room,38208.0,0.0,0.03331583900035184
1776114879,1275.312711695,brio-synths,38212.0,0.0,0.001318573999014916
1776114884,1280.314211117,brio-operator,35807.0,0.0,0.0321614660006162
1776114884,1280.314211117,c920-desk,38407.0,0.0,0.012439828000424313
1776114884,1280.314211117,c920-room,38392.0,0.0,0.018880198998886044
1776114884,1280.314211117,c920-overhead,38397.0,0.0,0.005131796999194194
1776114884,1280.314211117,brio-room,38361.0,0.0,0.00014774199917155784
1776114884,1280.314211117,brio-synths,38365.0,0.0,0.0004414849991007941
1776114890,1285.3158683849997,brio-operator,35949.0,0.0,0.034578052998767816
1776114890,1285.3158683849997,c920-desk,38558.0,0.0,0.015825106000193045
1776114890,1285.3158683849997,c920-room,38543.0,0.0,0.018846938999558915
1776114890,1285.3158683849997,c920-overhead,38548.0,0.0,0.01026467399969988
1776114890,1285.3158683849997,brio-room,38513.0,0.0,0.003288486999736051
1776114890,1285.3158683849997,brio-synths,38517.0,0.0,0.00423528799910855
1776114895,1291.3180153409994,brio-operator,36094.0,0.0,0.03191674199842964
1776114895,1291.3180153409994,c920-desk,38714.0,0.0,0.019141961000059382
1776114895,1291.3180153409994,c920-room,38699.0,0.0,0.02396311499978765
1776114895,1291.3180153409994,c920-overhead,38704.0,0.0,0.013739690999500453
1776114895,1291.3180153409994,brio-room,38669.0,0.0,0.00665687299988349
1776114895,1291.3180153409994,brio-synths,38673.0,0.0,0.008116348999465117
1776114900,1296.3238680630002,brio-operator,36242.0,0.0,0.032118416000230354
1776114900,1296.3238680630002,c920-desk,38872.0,0.0,0.02240360799987684
1776114900,1296.3238680630002,c920-room,38858.0,0.0,0.03033100600077887
1776114900,1296.3238680630002,c920-overhead,38862.0,0.0,0.020468816999709816
1776114900,1296.3238680630002,brio-room,38827.0,0.0,0.008811498000795837
1776114900,1296.3238680630002,brio-synths,38831.0,0.0,0.010705209000661853
1776114905,1301.3406470419995,brio-operator,36384.0,0.0,0.009864889998425497
1776114905,1301.3406470419995,c920-desk,39025.0,0.0,0.009381013998790877
1776114905,1301.3406470419995,c920-room,39010.0,0.0,0.01652889299839444
1776114905,1301.3406470419995,c920-overhead,39015.0,0.0,0.010047361998658744
1776114905,1301.3406470419995,brio-room,38980.0,0.0,0.029340305000005173
1776114905,1301.3406470419995,brio-synths,38984.0,0.0,0.031229495998559287
1776114910,1306.342709001001,brio-operator,36525.0,0.0,0.016150989000379923
1776114910,1306.342709001001,c920-desk,39176.0,0.0,0.009091581001484883
1776114910,1306.342709001001,c920-room,39162.0,0.0,0.020253144000889733
1776114910,1306.342709001001,c920-overhead,39166.0,0.0,0.009728798000651295
1776114910,1306.342709001001,brio-room,39131.0,0.0,0.02989873099977558
1776114910,1306.342709001001,brio-synths,39135.0,0.0,0.027892187999896123
1776114915,1311.344548813,brio-operator,36668.0,0.0,0.016908046000025934
1776114915,1311.344548813,c920-desk,39328.0,0.0,0.010895229999732692
1776114915,1311.344548813,c920-room,39314.0,0.0,0.021703738999349298
1776114915,1311.344548813,c920-overhead,39318.0,0.0,0.01104893199953949
1776114915,1311.344548813,brio-room,39283.0,0.0,0.0305019560000801
1776114915,1311.344548813,brio-synths,39287.0,0.0,0.033366788000421366
1776114920,1316.3466109340006,brio-operator,36810.0,0.0,0.020452486000067438
1776114920,1316.3466109340006,c920-desk,39482.0,0.0,0.014670372000182397
1776114920,1316.3466109340006,c920-room,39467.0,0.0,0.02940275500077405
1776114920,1316.3466109340006,c920-overhead,39472.0,0.0,0.01964803699956974
1776114920,1316.3466109340006,brio-room,39436.0,0.0,0.0012818539998988854
1776114920,1316.3466109340006,brio-synths,39440.0,0.0,0.03652296300060698
1776114925,1321.354431904001,brio-operator,36955.0,0.0,0.028928190000442555
1776114925,1321.354431904001,c920-desk,39636.0,0.0,0.02189563200045086
1776114925,1321.354431904001,c920-room,39621.0,0.0,0.004812254001080873
1776114925,1321.354431904001,c920-overhead,39626.0,0.0,0.028450274001443177
1776114925,1321.354431904001,brio-room,39591.0,0.0,0.01057921700157749
1776114925,1321.354431904001,brio-synths,39595.0,0.0,0.011858911000672379
1776114930,1326.3557105569998,brio-operator,37095.0,0.0,0.028607385998839163
1776114930,1326.3557105569998,c920-desk,39787.0,0.0,0.02321517599921208
1776114930,1326.3557105569998,c920-room,39772.0,0.0,0.003919972999938182
1776114930,1326.3557105569998,c920-overhead,39777.0,0.0,0.028184860999317607
1776114930,1326.3557105569998,brio-room,39742.0,0.0,0.009692886998891481
1776114930,1326.3557105569998,brio-synths,39746.0,0.0,0.011207043999093003
1776114936,1331.3571351570008,brio-operator,37237.0,0.0,0.02658972300014284
1776114936,1331.3571351570008,c920-desk,39938.0,0.0,0.024600511000244296
1776114936,1331.3571351570008,c920-room,39924.0,0.0,0.006383269999787444
1776114936,1331.3571351570008,c920-overhead,39929.0,0.0,0.030481786001473665
1776114936,1331.3571351570008,brio-room,39893.0,0.0,0.007103028001438361
